ID,Name,Types,Weaknesses,Evolution,HP,Attack,Defense,SpAttack,SpDefense,Speed,HeightM,WeightKg,Generation,Region,FirstLocation,Genus,Bio,Fact
163,Hoothoot,"Normal,Flying","Electric,Ice,Rock",164,60,30,30,36,56,50,0.7,21.2,Gen II,Johto,National Park (Gold),Owl Pokémon,It begins to hoot at the same time every day. Some Trainers use them in place of clocks.,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,Noctowl,"Normal,Flying","Electric,Ice,Rock",,100,50,50,86,96,70,1.6,40.8,Gen II,Johto,Route 2 (Gold),Owl Pokémon,"When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.",Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165,Ledyba,"Bug,Flying","Fire,Electric,Ice,Flying,Rock",166,40,20,30,40,80,55,1.0,10.8,Gen II,Johto,Route 2 (Silver),Five Star Pokémon,These very cowardly Pokémon join together and use Reflect to protect their nest.,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
166,Ledian,"Bug,Flying","Fire,Electric,Ice,Flying,Rock",,55,35,50,55,110,85,1.4,35.6,Gen II,Johto,Route 2 (Silver),Five Star Pokémon,"It flies through the night sky, sprinkling sparkly dust. According to some, if that dust sticks to you, good things will happen to you.","When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,Spinarak,"Bug,Poison","Fire,Flying,Psychic,Rock",168,40,60,40,40,40,30,0.5,8.5,Gen II,Johto,Route 2 (Gold),String Spit Pokémon,"Although the poison from its fangs isn’t that strong, it’s potent enough to weaken prey that gets caught in its web.","It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,Ariados,"Bug,Poison","Fire,Flying,Psychic,Rock",,70,90,70,60,70,40,1.1,33.5,Gen II,Johto,Route 2 (Gold),Long Leg Pokémon,"It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively.",It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
169,Crobat,"Poison,Flying","Electric,Ice,Psychic,Rock",,85,90,80,70,80,130,1.8,75.0,Gen II,Johto,Giant Chasm (Black),Bat Pokémon,Its hind limbs have become another set of wings. Crobat expertly maneuvers its four wings to dart in exquisite fashion through even the most confined caves without losing any speed.,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
170,Chinchou,"Water,Electric","Grass,Ground",171,75,38,38,56,56,67,0.5,12.0,Gen II,Johto,New Bark Town (Gold),Angler Pokémon,"On the dark ocean floor, its only means of communication is its constantly flashing lights.",It shoots positive and negative elec­ tricity between the tips of its two antennae and zaps its enemies.
171,Lanturn,"Water,Electric","Grass,Ground",,125,58,58,76,76,67,1.2,22.5,Gen II,Johto,New Bark Town (Gold),Light Pokémon,This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.,Has the highest base HP (125) of all 57 Electric-type Pokémon.
172,Pichu,Electric,Ground,025,20,40,15,35,35,60,0.3,2.0,Gen II,Johto,Route 34 (Crystal),Tiny Mouse Pokémon,"Pichu stores electricity in the sacs on its cheeks but discharges it inadvertently when agitated or excited. Being yet immature, the Pokémon's handling of electricity is rather inept.",It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,Cleffa,Fairy,"Steel,Poison",035,50,25,28,45,55,15,0.3,3.0,Gen II,Johto,Route 34 (Crystal),Star Shape Pokémon,"In silhouette, they resemble twinkling starlight. When shooting stars rain from the night sky, Cleffa gather in numbers and dance as though they are indeed incarnations of the stars.","Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,Igglybuff,"Normal,Fairy","Steel,Poison",039,90,30,15,40,20,15,0.3,1.0,Gen II,Johto,Route 34 (Crystal),Balloon Pokémon,"Taking advantage of the softness of its body, Igglybuff moves as if bouncing. Its body turns a deep pink when its temperature rises.","It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,Togepi,Fairy,"Steel,Poison",176,35,20,65,40,65,20,0.3,1.5,Gen II,Johto,Violet City (Gold),Spike Ball Pokémon,This ovate creature is frequently mistaken for a moving egg when encountered out in the fields or in the mountains. Its guileless smile soothes the soul.,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,Togetic,"Fairy,Flying","Steel,Poison,Electric,Ice,Rock",,55,40,85,80,105,40,0.6,3.2,Gen II,Johto,Outskirt Stand (Colosseum),Happiness Pokémon,"No records exist of Togetic being seen in the wilds. Rumors abound that it evolves under the loving care of a trusted human companion, upon whom the Pokémon then bestows great joy.","They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
177,Natu,"Psychic,Flying","Electric,Ice,Rock,Ghost,Dark",178,40,50,45,70,45,70,0.2,2.0,Gen II,Johto,Ruins of Alph (Gold),Tiny Bird Pokémon,"Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something.","Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
178,Xatu,"Psychic,Flying","Electric,Ice,Rock,Ghost,Dark",,65,75,70,95,70,95,1.5,15.0,Gen II,Johto,Pewter City (Crystal),Mystic Pokémon,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,Mareep,Electric,Ground,180,55,40,40,65,45,35,0.6,7.8,Gen II,Johto,Route 32 (Gold),Wool Pokémon,"Rubbing its fleece generates electricity. You’ll want to pet it because it’s cute, but if you use your bare hand, you’ll get a painful shock.","If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,Flaaffy,Electric,Ground,181,70,55,55,80,60,45,0.8,13.3,Gen II,Johto,Route 42 (Gold),Wool Pokémon,"It stores electricity in its fluffy fleece. If it stores up too much, it will start to go bald in those patches.","As a result of storing too much electricity, it developed patches where even downy wool won't grow."
181,Ampharos,Electric,Ground,,90,75,85,115,90,55,1.4,61.5,Gen II,Johto,Evolves from Flaaffy,Light Pokémon,Its tail shines bright and strong. It has been prized since long ago as a beacon for sailors.,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,Bellossom,Grass,"Fire,Ice,Poison,Flying,Bug",,75,80,95,90,100,50,0.4,5.8,Gen II,Johto,Giant's Mirror (Sword),Flower Pokémon,Bellossom gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.
183,Marill,Water,"Electric,Grass",184,70,20,50,20,50,40,0.4,8.5,Gen II,Johto,Mt. Mortar (Gold),Aqua Mouse Pokémon,"Even after Marill swims in a cold sea, its water- repellent fur dries almost as soon as Marill leaves the water. That’s why this Pokémon is never cold.","The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning."
184,Azumarill,Water,"Electric,Grass",,100,50,80,60,80,50,0.8,28.5,Gen II,Johto,Victory Road (Platinum),Aqua Rabbit Pokémon,"These Pokémon create air-filled bubbles. When Azurill play in rivers, Azumarill will cover them with these bubbles.","By keeping still and listening in­ tently, it can tell what is in even wild, fast- moving rivers."
185,Sudowoodo,Rock,"Water,Grass,Fighting,Ground,Steel",,70,100,115,30,65,30,1.2,38.0,Gen II,Johto,Route 36 (Gold),Imitation Pokémon,"Though it pretends to be a tree, it fails to fool even children. To the touch, its body feels more like rock than tree bark. Sudowoodo's extreme aversion to water merits special note.","Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
186,Politoed,Water,"Electric,Grass",,90,75,75,90,100,70,1.1,33.9,Gen II,Johto,Route 6 (Black),Frog Pokémon,"The cry of a male is louder than that of a female. Male Politoed with deep, menacing voices find more popularity with the opposite gender.","If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide."
187,Hoppip,"Grass,Flying","Fire,Ice,Poison,Flying,Rock",188,35,35,40,35,55,50,0.4,0.5,Gen II,Johto,Route 13 (Gold),Cottonweed Pokémon,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
188,Skiploom,"Grass,Flying","Fire,Ice,Poison,Flying,Rock",189,55,45,50,45,65,80,0.6,1.0,Gen II,Johto,Route 14 (Gold),Cottonweed Pokémon,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.
189,Jumpluff,"Grass,Flying","Fire,Ice,Poison,Flying,Rock",,75,55,70,55,95,110,0.8,3.0,Gen II,Johto,Johto Safari Zone (Heartgold),Cottonweed Pokémon,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
190,Aipom,Normal,Fighting,,55,70,55,40,55,85,0.8,11.5,Gen II,Johto,Route 29 (Gold),Long Tail Pokémon,This treetop dweller possesses a tail as dexterous as a hand. Ancient writings describe this Pokémon as a one-armed oddity.,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
191,Sunkern,Grass,"Fire,Ice,Poison,Flying,Bug",192,30,30,30,30,30,30,0.3,1.8,Gen II,Johto,National Park (Gold),Seed Pokémon,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
192,Sunflora,Grass,"Fire,Ice,Poison,Flying,Bug",,75,75,55,105,85,30,0.8,8.5,Gen II,Johto,Route 12 (Black),Sun Pokémon,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still."
193,Yanma,"Bug,Flying","Fire,Electric,Ice,Flying,Rock",,65,65,45,75,45,95,1.2,38.0,Gen II,Johto,Route 35 (Gold),Clear Wing Pokémon,"Its frail wings are so thin that one can see clear through them. However, during flight these wings exhibit the power to churn air with force enough to launch a house skyward.","If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area."
194,Wooper,"Water,Ground",Grass,195,55,45,45,25,25,15,0.4,8.5,Gen II,Johto,Route 32 (Gold),Water Fish Pokémon,"When walking on land, it covers its body with a poisonous film that keeps its skin from dehydrating.",This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
195,Quagsire,"Water,Ground",Grass,,95,85,85,65,65,35,1.4,75.0,Gen II,Johto,Mt. Silver (Gold),Water Fish Pokémon,Its body is always slimy. It often bangs its head on the river bottom as it swims but seems not to care.,"This carefree Pokémon has an easy-going nature. While swimming, it always bumps into boat hulls."
196,Espeon,Psychic,"Bug,Ghost,Dark",,65,65,60,130,95,110,0.9,26.5,Gen II,Johto,Outskirt Stand (Colosseum),Sun Pokémon,"Wields an arcane power with which it can predict the weather and even people's thoughts. When bathed in sunshine, the scarlet orb on its brow glows and builds energy.",It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.
197,Umbreon,Dark,"Fighting,Bug,Fairy",,95,65,110,60,130,65,1.0,27.0,Gen II,Johto,Outskirt Stand (Colosseum),Moonlight Pokémon,"It is most active in the wee hours of the night, when moonlight bathes the land. Its large eyes can pierce the darkness and perceive prey with absolute clarity.",Has the highest base Sp. Defense (130) of all 55 Dark-type Pokémon.
198,Murkrow,"Dark,Flying","Electric,Ice,Rock,Fairy",430,60,85,42,85,42,91,0.5,2.1,Gen II,Johto,Route 7 (Gold),Darkness Pokémon,"Widely shunned as a bearer of ill fortune. Upon crossing paths with this creature, I've been told one must chant ”Workrum, Workrum—bad luck, don't come” as a protective incantation.","Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
199,Slowking,"Water,Psychic","Electric,Grass,Bug,Ghost,Dark",,95,75,80,100,110,30,2.0,79.5,Gen II,Johto,Abundant Shrine (Black),Royal Pokémon,"Slowking can solve any problem presented to it, but no one can understand a thing Slowking says.","It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected."
200,Misdreavus,Ghost,"Ghost,Dark",429,60,60,60,85,85,85,0.7,1.0,Gen II,Johto,Mt. Silver (Gold),Screech Pokémon,"It conceals itself in darkness, sending chills up travelers' spines with its childlike weeping. As it observes the frightened travelers with glee, the red orbs upon its chest let off an eerie light.",It likes playing mischievous tricks such as screaming and wailing to startle people at night.
201,Unown,Psychic,"Bug,Ghost,Dark",,48,72,48,72,48,48,0.5,5.0,Gen II,Johto,Ruins of Alph (Gold),Symbol Pokémon,It is hard to believe these strangely shaped Pokémon are truly living creatures. I've pointed out that the species' many forms resemble writing from other lands; no one will take me seriously.,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.
202,Wobbuffet,Psychic,"Bug,Ghost,Dark",,190,33,58,33,58,33,1.3,28.5,Gen II,Johto,Dark Cave (Gold),Patient Pokémon,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack.",Has the highest base HP (190) of all 90 Psychic-type Pokémon.
203,Girafarig,"Normal,Psychic","Bug,Dark",,70,80,65,90,65,85,1.5,41.5,Gen II,Johto,Route 43 (Gold),Long Neck Pokémon,"Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.","Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
204,Pineco,Bug,"Fire,Flying,Rock",205,50,65,90,35,35,15,0.6,7.2,Gen II,Johto,Route 26 (Gold),Bagworm Pokémon,"It sticks tree bark to itself with its saliva, making itself thicker and larger. Elderly Pineco are ridiculously huge.",It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.
205,Forretress,"Bug,Steel",Fire,,75,90,140,60,60,40,1.2,125.8,Gen II,Johto,Shadow Pokémon Lab (Colosseum),Bagworm Pokémon,"In the moment that it gulps down its prey, the inside of its shell is exposed, but to this day, no one has ever seen that sight.",Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.
206,Dunsparce,Normal,Fighting,,100,70,70,65,65,45,1.5,14.0,Gen II,Johto,Dark Cave (Gold),Land Snake Pokémon,The nests Dunsparce live in are mazes of tunnels. They never get lost in their own nests—they can tell where they are by the scent of the dirt.,"When spotted, this Pokémon escapes backward by furi­ ously boring into the ground with its tail."
207,Gligar,"Ground,Flying","Water,Ice",472,65,75,105,35,65,85,1.1,64.8,Gen II,Johto,Route 45 (Gold),Fly Scorpion Pokémon,"Its tail is tipped by a thick, horrible stinger. To bring down prey, it will first obscure their vision by covering their faces with its body, and then it will use the stinger to inject them with venom.",It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.
208,Steelix,"Steel,Ground","Fire,Water,Fighting,Ground",,75,85,200,55,65,30,9.2,400.0,Gen II,Johto,Victory Road (Diamond),Iron Snake Pokémon,This Pokémon evolved through use of a strange item. Its body is coated with steel powder and notably hard—not even diamond can leave so much as a scratch.,Has the highest base Defense (200) of all 67 Ground-type Pokémon.
209,Snubbull,Fairy,"Steel,Poison",210,60,80,50,40,40,30,0.6,7.8,Gen II,Johto,Route 38 (Gold),Fairy Pokémon,"In contrast to its appearance, it’s quite timid. When playing with other puppy Pokémon, it sometimes gets bullied.","Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
210,Granbull,Fairy,"Steel,Poison",,90,120,75,60,60,45,1.4,48.7,Gen II,Johto,Route 6 (Crystal),Fairy Pokémon,"Although it’s popular with young people, Granbull is timid and sensitive, so it’s totally incompetent as a watchdog.","It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker."
211,Qwilfish,"Water,Poison","Electric,Ground,Psychic",,65,95,85,55,55,85,0.5,3.9,Gen II,Johto,Route 32 (Gold),Balloon Pokémon,"Fishers detest this troublesome Pokémon because it sprays poison from its spines, getting it everywhere. A different form of Qwilfish lives in other regions.","To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
212,Scizor,"Bug,Steel",Fire,,70,130,100,55,80,65,1.8,118.0,Gen II,Johto,Phenac City (Colosseum),Pincer Pokémon,Evolved by way of a curious item. The shell covering its body has been shown to be stronger than forged steel.,It swings its eye- patterned pincers up to scare its foes. This makes it look like it has three heads.
213,Shuckle,"Bug,Rock","Water,Rock,Steel",,20,10,230,10,230,5,0.6,20.5,Gen II,Johto,Cianwood City (Gold),Mold Pokémon,"The berries stored in its vaselike shell eventually become a thick, pulpy juice.",Has the highest base Defense (230) of all 898 Pokémon.
214,Heracross,"Bug,Fighting","Flying,Fire,Psychic,Fairy",,80,125,75,40,95,85,1.5,54.0,Gen II,Johto,Route 29 (Gold),Single Horn Pokémon,This Pokémon has an unparalleled horn. Heracross itself demonstrates tremendous power—it's capable of throwing several people trained in the traditional arts of war at once.,This powerful Pokémon thrusts its prized horn under its enemies’ bellies then lifts and throws them.
215,Sneasel,"Dark,Ice","Fire,Fighting,Bug,Rock,Steel,Fairy",461,55,95,55,35,75,115,0.9,28.0,Gen II,Johto,Mt. Silver (Gold),Sharp Claw Pokémon,"Its sturdy, curved claws are ideal for traversing precipitous cliffs. From the tips of these claws drips a venom that infiltrates the nerves of any prey caught in Sneasel's grasp.","Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy."
216,Teddiursa,Normal,Fighting,217,60,80,50,50,50,40,0.6,8.8,Gen II,Johto,Route 45 (Gold),Little Bear Pokémon,"It licks its paws because of the sweet honey that has soaked into them. It is cunning, stealing into the nests of Combee and taking for itself the honey that the Combee have amassed.","If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
217,Ursaring,Normal,Fighting,,90,130,75,75,75,55,1.8,125.8,Gen II,Johto,Mt. Silver (Gold),Hibernator Pokémon,"When the cold season arrives in Hisui, this Pokémon will wander fields and mountains alike in search of its favorite berries. Ursaring's hunger during this time makes it a ferocious danger.","Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES."
218,Slugma,Fire,"Water,Ground,Rock",219,40,40,40,70,40,20,0.7,35.0,Gen II,Johto,Route 16 (Gold),Lava Pokémon,"Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon’s body, carrying essential nutrients and oxygen to its organs.","It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
219,Magcargo,"Fire,Rock","Water,Ground,Fighting,Rock",,60,50,120,90,80,30,0.8,55.0,Gen II,Johto,Mt. Ember (Firered),Lava Pokémon,"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
220,Swinub,"Ice,Ground","Fire,Water,Grass,Fighting,Steel",221,50,50,40,30,30,50,0.4,6.5,Gen II,Johto,Ice Path (Gold),Pig Pokémon,"Swinub excels at sniffing out mushrooms buried beneath grass or snow. Since ancient times, the people of Hisui have often relied upon this skill.",It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
221,Piloswine,"Ice,Ground","Fire,Water,Grass,Fighting,Steel",473,100,100,80,60,60,50,1.1,55.8,Gen II,Johto,Route 217 (Platinum),Swine Pokémon,"The long fur of this Pokémon covers its eyes, ears, and even limbs, allowing Piloswine to resist harshly frigid conditions. The Pokémon's white tusks can be used to defeat its enemies.","Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
222,Corsola,"Water,Rock","Electric,Grass,Fighting,Ground",,65,55,95,65,95,35,0.6,5.0,Gen II,Johto,Union Cave (Gold),Coral Pokémon,"These Pokémon live in warm seas. In prehistoric times, many lived in the oceans around the Galar region as well.",It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.
223,Remoraid,Water,"Electric,Grass",224,35,65,35,65,35,65,0.6,12.0,Gen II,Johto,Route 44 (Gold),Jet Pokémon,Spits water from its mouth with incredible accuracy. It captures Burmy by shooting them down off the branches from which they dangle.,It has superb ac­ curacy. The water it shoots out can strike even moving prey from more than 300 feet.
224,Octillery,Water,"Electric,Grass",,75,105,75,105,75,45,0.9,28.5,Gen II,Johto,Safari Zone (Emerald),Jet Pokémon,"While Octillery still shoots water from its mouth, the drastic anatomical difference between it and Remoraid meant that for a long time, no one believed the former evolved from the latter.",It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head.
225,Delibird,"Ice,Flying","Fire,Electric,Rock,Steel",,45,55,45,65,45,75,0.9,16.0,Gen II,Johto,Ice Path (Silver),Delivery Pokémon,"It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food.",It carries food all day long. There are tales about lost people who were saved by the food it had.
226,Mantine,"Water,Flying","Electric,Rock",,85,40,70,80,140,70,2.1,220.0,Gen II,Johto,Sea Route 41 (Gold),Kite Pokémon,"This calm and gentle Pokémon swims gracefully through the sea. After building speed, it can leap out of the water. It is often misidentified as a bird Pokémon due to this behavior.","As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers."
227,Skarmory,"Steel,Flying","Fire,Electric",,65,80,140,40,70,70,1.7,50.5,Gen II,Johto,Route 45 (Silver),Armor Bird Pokémon,"People fashion swords from Skarmory’s shed feathers, so this Pokémon is a popular element in heraldic designs.",Has the highest base Defense (140) of all 102 Flying-type Pokémon.
228,Houndour,"Dark,Fire","Fighting,Ground,Rock,Water",229,45,60,30,80,50,65,0.6,10.8,Gen II,Johto,Route 7 (Gold),Dark Pokémon,They make repeated eerie howls before dawn to call attention to their pack.,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.
229,Houndoom,"Dark,Fire","Fighting,Ground,Rock,Water",,75,90,50,110,80,95,1.4,35.0,Gen II,Johto,Route 214 (Pearl),Dark Pokémon,"Identifiable by its eerie howls, people a long time ago thought it was the grim reaper and feared it.","If you are burned by the flames it shoots from its mouth, the pain will never go away."
230,Kingdra,"Water,Dragon","Dragon,Fairy",,75,95,95,95,95,85,1.8,152.0,Gen II,Johto,P2 Laboratory (Black),Dragon Pokémon,Scales shed by this Pokémon have such a splendorous gleam to them that they’ve been given to royalty as gifts.,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.
231,Phanpy,Ground,"Water,Grass,Ice",232,90,60,60,40,40,40,0.5,33.5,Gen II,Johto,Route 45 (Silver),Long Nose Pokémon,"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.","It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous."
232,Donphan,Ground,"Water,Grass,Ice",,90,120,120,60,60,50,1.1,120.0,Gen II,Johto,Mt. Silver (Silver),Armor Pokémon,"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.","It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
233,Porygon2,Normal,Fighting,,85,80,90,105,95,60,0.6,32.5,Gen II,Johto,Evolves from Porygon-Z,Virtual Pokémon,"A bizarre item caused this Pokémon to evolve. While it now exhibits many new gestures and expressions, its biology remains inscrutable.","This upgraded version of PORYGON is designed for space exploration. It can't fly, though."
234,Stantler,Normal,Fighting,,73,95,62,85,65,85,1.4,71.2,Gen II,Johto,Route 36 (Gold),Big Horn Pokémon,Its strangely shaped antlers have the power to bewitch those who see them. Medicine made by grinding up the black orbs from fallen antlers is an effective treatment for insomnia.,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.
235,Smeargle,Normal,Fighting,,55,20,35,20,45,75,1.2,58.0,Gen II,Johto,Ruins of Alph (Gold),Painter Pokémon,"It draws symbols with the fluid that oozes from the tip of its tail. Depending on the symbol, Smeargle fanatics will pay big money for them.",A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
236,Tyrogue,Fighting,"Flying,Psychic,Fairy","106,107,237",35,35,35,35,35,35,0.7,21.0,Gen II,Johto,Mt. Mortar (Gold),Scuffle Pokémon,"Even though it is small, it can’t be ignored because it will slug any handy target without warning.","It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses."
237,Hitmontop,Fighting,"Flying,Psychic,Fairy",,50,95,95,35,110,70,1.4,48.0,Gen II,Johto,Snagem Hideout (Colosseum),Handstand Pokémon,"After doing a handstand to throw off the opponent’s timing, it presents its fancy kick moves.","If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard."
238,Smoochum,"Ice,Psychic","Fire,Bug,Rock,Ghost,Dark,Steel",124,45,30,15,85,65,65,0.4,6.0,Gen II,Johto,Route 34 (Crystal),Kiss Pokémon,This is a very curious Pokémon. Smoochum decides what it likes and dislikes by touching things with its lips.,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.
239,Elekid,Electric,Ground,125,45,63,37,65,55,95,0.6,23.5,Gen II,Johto,Route 34 (Crystal),Electric Pokémon,"They generate electricity by spinning their arms. During a thunderstorm, if one hears the lively voices of children out in the wilderness, what one is actually hearing are the voices of Elekid.","It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit."
240,Magby,Fire,"Water,Ground,Rock",126,45,75,37,70,55,83,0.7,21.4,Gen II,Johto,Route 34 (Crystal),Live Coal Pokémon,"This Pokémon lives in volcanic areas. With each breath, sparks spurt from its mouth and nose. When Magby is in good health, its flames gain a yellow tint.","Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils."
241,Miltank,Normal,Fighting,,95,80,105,40,70,100,1.2,75.5,Gen II,Johto,Route 38 (Gold),Milk Cow Pokémon,"This Pokémon needs to be milked every day, or else it will fall ill. The flavor of Miltank milk changes with the seasons.","Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary."
242,Blissey,Normal,Fighting,,255,10,10,75,135,55,1.5,46.8,Gen II,Johto,Poni Plains (Ultra Sun),Happiness Pokémon,A kindhearted Pokémon that will care for any sick person or Pokémon until their health improves. The eggs it lays are delicious and bring good fortune to those who eat them.,Has the highest base HP (255) of all 898 Pokémon.
243,Raikou,Electric,Ground,,90,85,75,115,100,115,1.9,178.0,Gen II,Johto,Roaming Johto (Gold),Thunder Pokémon,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
244,Entei,Fire,"Water,Ground,Rock",,115,115,85,90,75,100,2.1,198.0,Gen II,Johto,Roaming Johto (Gold),Volcano Pokémon,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,Has the highest base HP (115) of all 71 Fire-type Pokémon.
245,Suicune,Water,"Electric,Grass",,100,75,115,90,115,85,2.0,187.0,Gen II,Johto,Roaming Johto (Gold),Aurora Pokémon,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water."
246,Larvitar,"Rock,Ground","Water,Grass,Ice,Fighting,Ground,Steel",247,50,64,50,45,50,41,0.6,72.0,Gen II,Johto,Mt. Silver (Gold),Rock Skin Pokémon,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow.",It is born deep underground. It can't emerge until it has entirely consumed the soil around it.
247,Pupitar,"Rock,Ground","Water,Grass,Ice,Fighting,Ground,Steel",248,70,84,70,65,70,51,1.2,152.0,Gen II,Johto,Mt. Silver (Crystal),Hard Shell Pokémon,"It will not stay still, even while it’s a pupa. It already has arms and legs under its solid shell.","Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
248,Tyranitar,"Rock,Dark","Fighting,Ground,Steel,Water,Grass,Bug,Fairy",,100,134,110,95,100,61,2.0,202.0,Gen II,Johto,Route 15 (Black),Armor Pokémon,The quakes caused when it walks make even great mountains crumble and change the surrounding terrain.,The only Rock/Dark type in the entire Pokédex.
